accession,description,seq_length
AB022679.1,"AB022679.1 Chiba virus gene for capsid protein, complete cds, strain:Chiba 407",1635
AB038630.1,"AB038630.1 Torque teno mini virus 3 DNA, complete genome, isolate: TLMV-NLC026",2897
AB042808.1,"AB042808.1 Chiba virus genomic RNA, complete genome",7697
AB100245.1,"AB100245.1 Human immunodeficiency virus 2 01JP-IMCJ/KR020.1 proviral DNA, nearly complete genome",9339
AB187514.1,"AB187514.1 Norovirus Hu/GI/Otofuke/1979/JP genomic RNA, complete genome",7746
AB220921.1,"AB220921.1 Norovirus Hu/Chiba/04-1050/2005/JP genomic RNA, complete genome",7559
AB290917.1,"AB290917.1 Torque teno midi virus 1 DNA, complete genome, isolate: MD1-032",3245
AB303553.1,"AB303553.1 Torque teno midi virus 6 DNA, complete genome, isolate: MDJHem3-1",3198
AB303560.1,"AB303560.1 Torque teno midi virus 10 DNA, complete genome, isolate: MDJN14",3175
AB303562.1,"AB303562.1 Torque teno midi virus 12 DNA, complete genome, isolate: MDJN51",3187
AB365435.1,"AB365435.1 Norovirus Hu/Texas/TCH04-577/2004/US genomic RNA, complete genome",7627
AB426608.1,"AB426608.1 Enterovirus B98 genomic RNA, complete genome, strain: T92-1499",7422
AB426609.1,"AB426609.1 Enterovirus B107 genomic RNA, complete genome, strain: TN94-0349",7423
AB426610.1,"AB426610.1 Enterovirus B79 genomic RNA, complete genome, strain: NH95-0601",7427
AB426611.1,"AB426611.1 Enterovirus B97 genomic RNA, complete genome, strain: DT94-0227",7413
AB426612.1,"AB426612.1 Enterovirus B79 gene for polyprotein, partial cds, strain: TS94-0534, VP1 and A2 region",818
AB426614.1,"AB426614.1 Enterovirus B73 gene for polyprotein, partial cds, strain: T97-1831, VP1 and A2 region",800
AB455793.2,"AB455793.2 Sapovirus Hu/Kushiro5/2007/JP genomic RNA, complete genome",7477
AB522390.3,"AB522390.3 Sapovirus Hu/D1714-B/2008/JPN genomic RNA, complete genome",7452
AB522397.2,"AB522397.2 Sapovirus D1737-A/Jun2008/JPN genomic RNA, complete genome",7461
AB550431.1,"AB550431.1 Human circular dsDNA virus associated with alcoholic cirrhosis DNA, complete genome",9496
AB583497.1,"AB583497.1 Human adenovirus 34 gene for DNA polymerase, partial cds",3152
AB583500.1,"AB583500.1 Human adenovirus 50 gene for DNA polymerase, partial cds",3152
AB583509.1,"AB583509.1 Human adenovirus D10 gene for DNA polymerase, partial cds",3143
AB583510.1,"AB583510.1 Human adenovirus D13 gene for DNA polymerase, partial cds",3143
AB583511.1,"AB583511.1 Human adenovirus 15 gene for DNA polymerase, partial cds",3143
AB583512.1,"AB583512.1 Human adenovirus 17 gene for DNA polymerase, partial cds",3143
AB583513.1,"AB583513.1 Human adenovirus 19a gene for DNA polymerase, partial cds",3143
AB583514.1,"AB583514.1 Human adenovirus 19 gene for DNA polymerase, partial cds",3143
AB583515.1,"AB583515.1 Human adenovirus 20 gene for DNA polymerase, partial cds",3143
AB583516.1,"AB583516.1 Human adenovirus 22 gene for DNA polymerase, partial cds",3143
AB583517.1,"AB583517.1 Human adenovirus 23 gene for DNA polymerase, partial cds",3143
AB583518.1,"AB583518.1 Human adenovirus 24 gene for DNA polymerase, partial cds",3143
AB583519.1,"AB583519.1 Human adenovirus 25 gene for DNA polymerase, partial cds",3143
AB583520.1,"AB583520.1 Human adenovirus 26 gene for DNA polymerase, partial cds",3143
AB583521.1,"AB583521.1 Human adenovirus 27 gene for DNA polymerase, partial cds",3143
AB583522.1,"AB583522.1 Human adenovirus 28 gene for DNA polymerase, partial cds",3143
AB583523.1,"AB583523.1 Human adenovirus 29 gene for DNA polymerase, partial cds",3143
AB583524.1,"AB583524.1 Human adenovirus 30 gene for DNA polymerase, partial cds",3143
AB583525.1,"AB583525.1 Human adenovirus 32 gene for DNA polymerase, partial cds",3143
AB583526.1,"AB583526.1 Human adenovirus 33 gene for DNA polymerase, partial cds",3143
AB583529.1,"AB583529.1 Human adenovirus 38 gene for DNA polymerase, partial cds",3143
AB583531.1,"AB583531.1 Human adenovirus 42 gene for DNA polymerase, partial cds",3143
AB583532.1,"AB583532.1 Human adenovirus 43 gene for DNA polymerase, partial cds",3143
AB583533.1,"AB583533.1 Human adenovirus 44 gene for DNA polymerase, partial cds",3143
AB583534.1,"AB583534.1 Human adenovirus 45 gene for DNA polymerase, partial cds",3143
AB583535.1,"AB583535.1 Human adenovirus 46 gene for DNA polymerase, partial cds",3143
AB583536.1,"AB583536.1 Human adenovirus 47 gene for DNA polymerase, partial cds",3143
AB583537.1,"AB583537.1 Human adenovirus 48 gene for DNA polymerase, partial cds",3143
AB583538.1,"AB583538.1 Human adenovirus 49 gene for DNA polymerase, partial cds",3143
AB623037.2,"AB623037.2 Sapovirus Hu/OH08021/2008/JP genomic RNA, complete genome",7442
AB625342.1,"AB625342.1 Hepatitis B virus genotype G DNA, complete genome, isolate: MEX918M",3248
AB625343.1,"AB625343.1 Hepatitis B virus genotype G DNA, complete genome, isolate: MEX921M",3179
AB625347.1,"AB625347.1 Hepatitis B virus genotype H S gene for large envelope protein, partial cds, isolate: MEX918M",696
AB630068.3,"AB630068.3 Sapovirus Hu/20082029/2008/JP genomic RNA, complete genome",7475
AB679752.1,"AB679752.1 Human adenovirus 19a DNA, complete genome, isolate: HAdVD_19a_Sapporo1992",35230
AB679753.1,"AB679753.1 Human adenovirus 19a DNA, complete genome, isolate: HAdVD_19a_Sapporo1999",35231
AB689163.1,"AB689163.1 Orthohantavirus nigrorivense gene for nucleocapsid protein, complete cds",1287
AB745694.1,"AB745694.1 Human papillomavirus 160 DNA, complete genome, strain: TM",7779
AB765926.1,"AB765926.1 Human adenovirus 81 DNA, complete genome, strain: Chiba_E086/2012",35198
AB775659.2,"AB775659.2 Sapovirus Hu/Nagoya/NGY-1/2012/JPN genomic RNA, complete genome",7521
AB793779.1,"AB793779.1 Human papillomavirus type 78 DNA, complete genome, isolate: z008",7805
AB846650.1,"AB846650.1 Hepatitis B virus genotype H DNA, complete genome, isolate: B-MHJ9014",3215
AB920345.1,"AB920345.1 Cosavirus A gene for polyprotein, complete cds, strain: 10928/2012/JPN",7328
AB979448.1,"AB979448.1 Baboon endogenous virus strain M7 DNA, complete genome",8507
AB982223.1,"AB982223.1 Bufavirus-3 gene for NS1, complete cds, strain: AHP-747",2022
AC_000001.1,"AC_000001.1 Ovine adenovirus A, complete genome",33034
AC_000002.1,"AC_000002.1 Bovine adenovirus B, complete genome",34446
AC_000003.1,"AC_000003.1 Canine adenovirus 1, complete genome",30536
AC_000004.1,"AC_000004.1 Duck adenovirus A, complete genome",33213
AC_000005.1,"AC_000005.1 Human mastadenovirus A, complete genome",34125
AC_000006.1,"AC_000006.1 Human adenovirus D, complete genome",35100
AC_000007.1,"AC_000007.1 Human adenovirus 2, complete genome",35937
AC_000008.1,"AC_000008.1 Human adenovirus 5, complete genome",35938
AC_000009.1,"AC_000009.1 Porcine adenovirus C, complete genome",32621
AC_000010.1,"AC_000010.1 Simian adenovirus 21, complete genome",35524
AC_000011.1,"AC_000011.1 Simian adenovirus 25, complete genome",36519
AC_000012.1,"AC_000012.1 Murine adenovirus A, complete genome",30944
AC_000013.1,"AC_000013.1 Fowl adenovirus D, complete genome",45063
AC_000014.1,"AC_000014.1 Fowl adenovirus A, complete genome",43804
AC_000016.1,"AC_000016.1 Turkey adenovirus A, complete genome",26263
AC_000017.1,"AC_000017.1 Human adenovirus type 1, complete genome",36001
AC_000018.1,"AC_000018.1 Human adenovirus type 7, complete genome",35514
AC_000019.1,"AC_000019.1 Human adenovirus type 35, complete genome",34794
AC_000020.1,"AC_000020.1 Canine adenovirus type 2, complete genome",31323
AC_000189.1,"AC_000189.1 Porcine adenovirus 3, complete genome",34094
AC_000190.1,"AC_000190.1 Tree shrew adenovirus 1, complete genome",33501
AC_000191.1,"AC_000191.1 Bovine adenovirus A, complete genome",34185
AC_000192.1,"AC_000192.1 Murine hepatitis virus strain JHM, complete genome",31526
AF026967.1,AF026967.1 Human papillomavirus type 57 strain G42 epithelial specific enhancer segment of the long control region,297
AF026968.1,AF026968.1 Human papillomavirus type 27 strain S12 epithelial specific enhancer segment of the long control region,286
AF049121.1,"AF049121.1 European bat lyssavirus 2 isolate V286 phosphoprotein (P) mRNA, complete cds",944
AF073752.1,"AF073752.1 Coxsackievirus A15 strain G-9 VP2 gene, partial cds",150
AF079457.1,"AF079457.1 Igbo Ora virus strain IBH10964, complete genome",11821
AF081305.1,"AF081305.1 Coxsackievirus A15 strain G-9 capsid protein VP1 (VP1) gene, partial cds",912
AF081337.1,"AF081337.1 Echovirus E26 strain Coronel capsid protein VP1 (VP1) gene, partial cds",870
AF081345.1,"AF081345.1 Echovirus E32 strain PR-10 capsid protein VP1 (VP1) gene, partial cds",875
AF103734.1,"AF103734.1 Sindbis-like virus YN87448, complete genome",11717
AF117697.1,"AF117697.1 Echovirus 26 strain Coronel capsid protein gene, partial cds",576
AF131950.1,"AF131950.1 Human papillomavirus candHPV85, complete genome",7812
AF153912.1,"AF153912.1 Tanapox virus PstI L fragment, complete sequence",2108
AF159053.1,"AF159053.1 Human papillomavirus type 8 E6 protein (E6) gene, partial cds",361
AF159585.1,"AF159585.1 Human torovirus hemagglutinin-esterase mRNA, complete cds",1251
AF160501.1,"AF160501.1 Hepatitis B virus strain IG29227, complete genome",3248
AF191303.2,"AF191303.2 Hepatitis B virus subtype ADR large envelope protein gene, complete cds",1179
AF198034.1,"AF198034.1 Hepatitis B virus subtype ADR clone TL29-A3 truncated large envelope protein gene, complete cds",1404
AF200364.1,"AF200364.1 Cercopithecine herpesvirus 12 FGARAT gene, partial cds; vIL10, NTR, EBNA-LP, and EBNA-2 genes, complete cds; EBER1 and EBER2 genes, complete sequence; and vBcl-2 gene, complete cds",21614
AF202459.1,"AF202459.1 Hepatitis B virus subtype ADR clone TL31-A8 truncated large envelope protein gene, complete cds",1406
AF221065.1,"AF221065.1 DG-75 Murine leukemia virus, complete genome",8207
AF228552.1,AF228552.1 Exogenous mouse mammary tumor virus C3H complete proviral genome,9895
AF230973.1,"AF230973.1 Enterovirus Yanbian 96-83csf, complete genome",7456
